doi,exemplar,alpha,all
10.1037_a0030060,1,0.9,"hat has high internal consistency (cronbach's alpha = .90; ramanaiah, franzen, &amp; schill, 1983). t"
10.1037_a0037623,8,0.9,"happens in my work team/area is large,” survey 1: α = .90; survey 2: α = .92). collectively, the 12 i"
10.1037_a0022546,1,0.9,"ent sample was adequate for the positive (time 1 α = .90, time 2 α = .92) and negative (time 1 α = .6"
10.1037_0022-0663.99.2.432,4,0.8,"consistency of the remaining 11 items was good (α = .80).

**prior school achievement**

the grades"
10.1037_a0028893,6,0.8,"kes to reflect, play with ideas”). cronbach's alpha of the scale was .80.

traditional gender ideolog"
10.1037_fam0000103,1,0.8,"2011). for the current study, the cronbach’s alpha was .80.

**grandmothers’ parenting support (w2)*"
10.1037_a0023679,4,0.8,"n the present study, a cronbach's coefficient alpha of .80 was calculated for the scale.

#### statis"
10.1037_a0026454,2,0.9,"o,' how often did s/he protest by crying loudly;” α = .90 for both mothers and fathers). items were r"
10.1037_a0039905,4,0.9,"nity.” interitem consistency for the total scale α = .90, whereas the four subscales ranged from α ="
10.1037_fam0000019,3,0.9,"n the present study, reliabilities were similar (α = .90 for pa; α = .86 for na).

**brief pain inven"
10.1037_0893-3200.14.2.267,1,0.9,aining to each attribution type is high (average α = .90; average 2-week test–retest reliability = .7
10.1037_0012-1649.44.2.597,8,0.9,"d using a 4-point scale, had an internal consistency of .90. this scale has been successfully used in"
10.1037_0278-6133.21.1.3,5,0.8,f if i have a colorectal cancer test”; cronbach’s α = .80); (b) information sharing and communication
10.1037_a0015358,4,0.7,"rs evidenced good reliability (e.g., sample 1 ni α = .70, pa α = .90), although the nr factor was som"
10.1037_0278-6133.14.4.291,3,0.9,cohol use α = .88 and for eighthgrade alcohol use α = .90. the reliability of a similar set of items
10.1037_0022-006X.75.2.307,1,0.9,"frisch, 1994; frisch et al, 1992). cronbach's alpha in this sample was .90.

the qoli was readministe"
10.1037_1040-3590.2.4.365,11,0.7,"mily sociability, rα = .54; family idealization, rα = .70; democratic family style, rα = .73; authori"
10.1037_0022-0663.99.4.747,2,0.7,"mething wrong”; this increased the cronbach’s alpha coefficient to α = .70.

**student perceptions of"
10.1037_1040-3590.19.4.422,4,0.9,"in both male and female samples.

cronbach's alpha coefficient for asiq4 was found to be .90, which"
10.1037_a0037712,4,0.7,", and then summed the z scores to create a scale (α = .70) where higher scores indicate a national cu"
10.1037_a0023289,22,0.7,"sd = 6.87, α = .77), women (m = 41.44, sd = 6.47, α = .70); agreeableness, men (m = 42.67, sd = 6.05,"
10.1037_1076-8998.3.4.402,4,0.7,tems from the framingham type a scale (cronbach's α = .70). this subscale was based on factor analysi
10.1037_hea0000232,1,0.8,"using the scale’s remaining 14 items (cronbach’s α = .80).

**efficacy beliefs**

questionnaires inc"
10.1037_dev0000035,5,0.9,"from 1 (never) to 5 (very often). cronbach’s alpha was .90.

**adolescents’ emotions and behaviors**"
10.1037_0022-0663.99.3.575,3,0.8,"tion (α = .82), performance-approach orientation (α = .80), and performance-avoidance orientation (α"
10.1037_cou0000034,3,0.8,"think this person will like you?” premanipulation α = .80; andersen &amp; baum, 1994; andersen, rezni"
10.1037_0022-3514.93.5.711,9,0.9,"raged to form a single overall index of feelings (α = .90).

#### results

all dependent measures wer"
10.1037_pspi0000037,5,0.7,"ed help in response to the various scenarios were α = .70 in the israeli sample, and α = .65 in the h"
10.1037_a0022533,1,0.9,"cents would likely be appropriate. cronbach's alphas in the current sample were .90 (fne), .88 (sad-n"
10.1037_0022-3514.81.2.263,34,0.8,"g exit tendencies (α = .76) and voice tendencies (α = .80), and somewhat lower reliabilities for item"
10.1037_a0028271,4,0.7,calculate a substance use measure (cronbach's alpha = .70). this measure was skewed and to normalize
10.1037_0022-0663.96.2.236,2,0.7,zed learning as much as possible and trying hard (α =.70). students responded to six items intended t
10.1037_a0017597,16,0.9,"oved ones” (to assess state social connectedness; α = .90, m = 4.23, sd = 1.52); “… feel i have many"
10.1037_a0025947,20,0.8,"self, α = .77; romantic partner, α = .72; parent, α = .80).

attachment features and functions

parti"
10.1037_xap0000027,21,0.9,strongly disagree; 9 = strongly agree; cronbach’s α = .90). subjective knowledge about investing was
10.1207_s15327876mp1802_1,8,0.9,"n, brown, &amp; steer, 1988). the coefficient alpha for this 7-item version of the instrument was .90"
10.1037_cjbs2006012,3,0.8,"nd to be satisfactory (α = .85 for global svq and α = .80 for global sts).

#### standard multiple re"
10.1037_0022-0663.98.1.170,9,0.9,"41% correct (sd = 38%) with an internal consistency of .90.

the spanish letter-word identification"
10.1037_a0018565,5,0.7,"nflict, α = .78; and family-to-work facilitation, α = .70.

#### data analysis

occupational differen"
10.1037_a0024951,10,0.8,"ubscale to produce a trait fear score (cronbach's α = .80).

participants were run individually and i"
10.1037_a0021504,10,0.9,ively). even the loading for self-esteem (average α = .90) dropped considerably (from β = .90 to .79)
10.1037_0033-295X.112.4.841,4,0.7,"ts. for the qualitative applications, we selected α = .70 for the utility function, θ = 3 for the thr"
10.1037_0893-3200.17.4.545,1,0.7,"ternal consistency in this sample (cronbach's alpha coefficient =.70 for parent and.70 for child).

t"
10.1037_1040-3590.11.3.381,1,0.9,n. the test–retest reliability and cronbach’s alpha for the dutch adaptation of the qbpds are 0.90 an
10.1037_h0087069,2,0.7,"five occasions (n = 150) are: confrontive coping (α = .70), distancing (α = .61), self-controlling (α"
10.1037_a0026042,9,0.8,at you can do even the most difficult math work”; α = .80) assessed students' judgments about their a
