doi,exemplar,text,alpha,total_length_of_article
10.1007_BF01044836,1,NA,NA,19702
10.1007_BF01044837,1,NA,NA,41531
10.1007_BF01044838,1,NA,NA,41019
10.1007_BF01044839,1,NA,NA,23807
10.1007_BF01044840,1,NA,NA,14963
10.1007_BF01044879,1,NA,NA,39163
10.1007_BF01044880,1,NA,NA,40199
10.1007_BF01044881,1,NA,NA,51468
10.1007_BF01044882,1,NA,NA,22729
10.1007_BF01044883,1,NA,NA,49944
10.1007_BF01044884,1,NA,NA,79799
10.1007_BF01045070,1,NA,NA,61548
10.1007_BF01045071,1,NA,NA,101036
10.1007_BF01045072,1,NA,NA,50578
10.1007_BF01045073,1,NA,NA,44569
10.1007_BF01045074,1,NA,NA,83137
10.1007_BF01045934,1,NA,NA,6597
10.1007_BF01045935,1,NA,NA,15085
10.1007_BF01045936,1,NA,NA,32243
10.1007_BF01045937,1,NA,NA,45123
10.1007_BF01045938,1,NA,NA,50490
10.1007_BF01045939,1,NA,NA,53315
10.1007_BF01045940,1,NA,NA,58832
10.1007_BF01045941,1,NA,NA,47917
10.1007_BF01045942,1,NA,NA,22518
10.1007_BF01045943,1,NA,NA,7675
10.1007_BF01045944,1,NA,NA,6860
10.1007_BF01046209,1,NA,NA,52370
10.1007_BF01046210,1,NA,NA,38982
10.1007_BF01046211,1,NA,NA,45012
10.1007_BF01046212,1,NA,NA,33103
10.1007_BF01046213,1,NA,NA,81937
10.1007_BF01046214,1,NA,NA,44675
10.1007_BF01047341,1,NA,NA,7385
10.1007_BF01047342,1,NA,NA,63443
10.1007_BF01047343,1,NA,NA,40852
10.1007_BF01047344,1,NA,NA,54212
10.1007_BF01047345,1,NA,NA,11376
10.1007_BF01047346,1,NA,NA,62103
10.1007_BF01047347,1,NA,NA,2956
10.1007_BF01055925,1,NA,NA,17320
10.1007_BF01056159,1,NA,NA,57423
10.1007_BF01056160,1,NA,NA,36829
10.1007_BF01056161,1,NA,NA,24651
10.1007_BF01056162,1,NA,NA,54910
10.1007_BF01056163,1,NA,NA,58261
10.1007_BF01056164,1,NA,NA,28029
10.1007_BF01056165,1,NA,NA,35696
10.1007_BF01061710,1,NA,NA,62853
10.1007_BF01061711,1,NA,NA,59007
10.1007_BF01061712,1,NA,NA,59571
10.1007_BF01061713,1,NA,NA,40947
10.1007_BF01061714,1,NA,NA,47360
10.1007_BF01061715,1,NA,NA,31614
10.1007_BF01061716,1,NA,NA,28128
10.1007_BF01061717,1,NA,NA,12518
10.1007_BF01061718,1,NA,NA,9498
10.1007_BF01064271,1,NA,NA,49897
10.1007_BF01064272,1,NA,NA,73941
10.1007_BF01064273,1,NA,NA,49424
10.1007_BF01064274,1,NA,NA,60767
10.1007_BF01064275,1,NA,NA,36181
10.1007_BF01064276,1,NA,NA,24243
10.1007_BF01065853,1,NA,NA,44177
10.1007_BF01065854,1,NA,NA,54479
10.1007_BF01065855,1,NA,NA,56801
10.1007_BF01065856,1,NA,NA,38922
10.1007_BF01065857,1,NA,NA,45602
10.1007_BF01065858,1,NA,NA,31319
10.1007_BF01065859,1,NA,NA,30106
10.1007_BF01067047,1,NA,NA,96400
10.1007_BF01067048,1,NA,NA,52440
10.1007_BF01067049,1,NA,NA,62299
10.1007_BF01067050,1,NA,NA,37428
10.1007_BF01067051,1,NA,NA,47438
10.1007_BF01067052,1,NA,NA,38342
10.1007_BF01068158,1,NA,NA,76498
10.1007_BF01068159,1,NA,NA,61132
10.1007_BF01068160,1,NA,NA,39900
10.1007_BF01068161,1,NA,NA,90218
10.1007_BF01073120,1,NA,NA,67575
10.1007_BF01073121,1,NA,NA,57990
10.1007_BF01073122,1,NA,NA,49746
10.1007_BF01073123,1,NA,NA,12312
10.1007_BF01073124,1,NA,NA,27615
10.1007_BF01073125,1,NA,NA,23697
10.1007_BF01073126,1,NA,NA,31768
10.1007_BF01073127,1,NA,NA,27627
10.1007_BF01073128,1,NA,NA,25746
10.1007_BF01499011,1,NA,NA,40395
10.1007_BF01499012,1,NA,NA,86854
10.1007_BF01499013,1,NA,NA,65771
10.1007_BF01499014,1,NA,NA,51197
10.1007_BF01499015,1,NA,NA,43533
10.1007_BF01499016,1,NA,NA,25973
10.1007_BF01499045,1,NA,NA,43637
10.1007_BF01499046,1,NA,NA,46737
10.1007_BF01499047,1,NA,NA,47266
10.1007_BF01499048,1,NA,NA,88203
10.1007_BF01499049,1,NA,NA,48393
10.1007_BF01499050,1,NA,NA,44858
10.1007_BF01499051,1,NA,NA,41956
10.1007_BF01499065,1,NA,NA,8755
10.1007_BF01499066,1,NA,NA,32583
10.1007_BF01499067,1,NA,NA,28085
10.1007_BF01499068,1,NA,NA,20293
10.1007_BF01499069,1,NA,NA,15666
10.1007_BF01499070,1,NA,NA,14196
10.1007_BF01499071,1,NA,NA,25106
10.1007_BF01499072,1,NA,NA,47403
10.1007_BF01499073,1,NA,NA,35952
10.1007_BF01499074,1,NA,NA,30475
10.1007_BF01499075,1,NA,NA,53897
10.1007_BF01499135,1,NA,NA,68037
10.1007_BF01499136,1,NA,NA,56948
10.1007_BF01499136,2,α = .71). Regression analyses were then conducted i,0.71,56948
10.1007_BF01499137,1,NA,NA,32565
10.1007_BF01499138,1,NA,NA,38986
10.1007_BF01499139,1,NA,NA,47650
10.1007_BF01499140,1,NA,NA,54843
10.1007_BF01499141,1,NA,NA,82815
10.1007_BF01499142,1,NA,NA,60428
10.1007_BF01499143,1,NA,NA,28919
10.1007_BF01499144,1,NA,NA,24941
10.1007_BF01499145,1,NA,NA,50352
10.1007_BF01499146,1,NA,NA,57956
10.1007_BF01499170,1,NA,NA,65184
10.1007_BF01499171,1,NA,NA,57947
10.1007_BF01499172,1,NA,NA,47813
10.1007_BF01499173,1,NA,NA,26731
10.1007_BF01499174,1,NA,NA,42136
10.1007_BF01499175,1,NA,NA,32845
10.1007_BF01499176,1,NA,NA,27255
10.1007_BF01499177,1,NA,NA,20992
10.1007_BF01499321,1,NA,NA,75927
10.1007_BF01499322,1,NA,NA,61325
10.1007_BF01499323,1,NA,NA,68357
10.1007_BF01499324,1,NA,NA,68238
10.1007_BF01499325,1,NA,NA,64504
10.1007_BF01499326,1,NA,NA,8141
10.1007_BF01499327,1,NA,NA,61533
10.1007_BF01499328,1,NA,NA,49608
10.1007_BF01499329,1,NA,NA,49727
10.1007_BF01499330,1,NA,NA,70987
10.1007_BF01499331,1,NA,NA,66176
10.1007_BF01499332,1,NA,NA,10574
10.1007_BF01499333,1,NA,NA,10510
10.1007_BF01499334,1,NA,NA,7262
10.1007_BF01499336,1,NA,NA,66614
10.1007_BF01499337,1,NA,NA,54196
10.1007_BF01499338,1,NA,NA,43860
10.1007_BF01499339,1,NA,NA,34340
10.1007_BF01499340,1,NA,NA,35829
10.1007_BF01499341,1,NA,NA,80486
10.1007_BF01499342,1,NA,NA,29785
10.1007_BF01499377,1,NA,NA,61676
10.1007_BF01499378,1,NA,NA,56933
10.1007_BF01499379,1,NA,NA,40165
10.1007_BF01499585,1,NA,NA,36777
10.1007_BF01499586,1,NA,NA,95070
10.1007_BF01499587,1,NA,NA,70036
10.1007_BF01499588,1,NA,NA,70311
10.1007_BF01499589,1,NA,NA,37643
10.1007_BF01499590,1,NA,NA,41087
10.1007_BF01499591,1,NA,NA,66508
10.1007_BF01499592,1,NA,NA,40099
10.1007_BF01499593,1,NA,NA,34320
10.1007_BF01501658,1,NA,NA,84734
10.1007_BF01501659,1,NA,NA,53117
10.1007_BF01501660,1,NA,NA,57848
10.1007_BF01501661,1,NA,NA,64595
10.1007_BF01501662,1,NA,NA,39428
10.1007_BF01501662,2,"as for the E scale were .80, .84, and .86, for the",0.8,39428
10.1007_BF01501663,1,NA,NA,20526
10.1007_BF01650290,1,NA,NA,49872
10.1007_BF01650291,1,NA,NA,40090
10.1007_BF01650292,1,NA,NA,66234
10.1007_BF01650293,1,NA,NA,70141
10.1007_BF01650294,1,NA,NA,21509
10.1007_BF01650295,1,NA,NA,10330
10.1007_BF01650296,1,NA,NA,8839
10.1007_BF01884018,1,NA,NA,66964
10.1007_BF01884019,1,NA,NA,47152
10.1007_BF01884020,1,NA,NA,44308
10.1007_BF01884021,1,NA,NA,35961
10.1007_BF01884022,1,NA,NA,40482
10.1007_BF01884023,1,NA,NA,40290
10.1007_BF02074075,1,NA,NA,47560
10.1007_BF02074076,1,NA,NA,75693
10.1007_BF02074077,1,NA,NA,29684
10.1007_BF02074078,1,NA,NA,50040
10.1007_BF02074079,1,NA,NA,75502
10.1007_BF02074080,1,NA,NA,56354
10.1007_BF02351045,1,NA,NA,14849
10.1007_BF02351046,1,NA,NA,71426
10.1007_BF02351047,1,NA,NA,40616
10.1007_BF02351048,1,NA,NA,77707
10.1007_BF02351049,1,NA,NA,48551
10.1007_BF02351050,1,NA,NA,38597
10.1007_BF02351051,1,NA,NA,63399
10.1007_BF02351052,1,NA,NA,63194
10.1007_BF02352265,1,NA,NA,60207
10.1007_BF02352266,1,NA,NA,42769
10.1007_BF02352267,1,NA,NA,34874
10.1007_BF02352268,1,NA,NA,74950
10.1007_BF02352269,1,NA,NA,44149
10.1007_BF02352270,1,NA,NA,27310
10.1007_s10979-004-0486-8,1,NA,NA,73048
10.1007_s10979-004-0487-7,1,NA,NA,76123
10.1007_s10979-005-1396-0,1,NA,NA,17406
10.1007_s10979-005-1397-z,1,NA,NA,79792
10.1007_s10979-005-1398-y,1,NA,NA,81991
10.1007_s10979-005-1399-x,1,NA,NA,108235
10.1007_s10979-005-1400-8,1,NA,NA,118940
10.1007_s10979-005-1401-7,1,NA,NA,101015
10.1007_s10979-005-2193-5,1,NA,NA,36545
10.1007_s10979-005-2194-4,1,NA,NA,69819
10.1007_s10979-005-2415-x,1,NA,NA,59640
10.1007_s10979-005-2416-9,1,NA,NA,57888
10.1007_s10979-005-2417-8,1,NA,NA,37243
10.1007_s10979-005-2418-7,1,NA,NA,68210
10.1007_s10979-005-2965-y,1,NA,NA,37391
10.1007_s10979-005-3318-6,1,NA,NA,42113
10.1007_s10979-005-3319-5,1,NA,NA,64415
10.1007_s10979-005-3401-z,1,NA,NA,44241
10.1007_s10979-005-3613-2,1,NA,NA,67071
10.1007_s10979-005-3617-y,1,NA,NA,78212
10.1007_s10979-005-4930-1,1,NA,NA,73473
10.1007_s10979-005-5521-x,1,NA,NA,53458
10.1007_s10979-005-5522-9,1,NA,NA,69528
10.1007_s10979-005-5523-8,1,NA,NA,104802
10.1007_s10979-005-5524-7,1,NA,NA,32526
10.1007_s10979-005-5690-7,1,NA,NA,95386
10.1007_s10979-005-5692-5,1,NA,NA,66995
10.1007_s10979-005-6830-9,1,NA,NA,70272
10.1007_s10979-005-6831-8,1,NA,NA,32335
10.1007_s10979-005-6832-7,1,NA,NA,16065
10.1007_s10979-005-6833-6,1,NA,NA,42857
10.1007_s10979-005-7120-2,1,NA,NA,38779
10.1007_s10979-005-7121-1,1,NA,NA,95842
10.1007_s10979-005-7370-z,1,NA,NA,63505
10.1007_s10979-005-7371-y,1,NA,NA,54820
10.1007_s10979-005-7372-x,1,NA,NA,76564
10.1007_s10979-005-7978-y,1,NA,NA,62111
10.1007_s10979-005-8122-9,1,NA,NA,54840
10.1007_s10979-005-8378-0,1,NA,NA,37774
10.1007_s10979-005-8380-7,1,NA,NA,62318
10.1007_s10979-006-9001-8,1,NA,NA,63967
10.1007_s10979-006-9002-7,1,NA,NA,52266
10.1007_s10979-006-9003-6,1,NA,NA,69067
10.1007_s10979-006-9004-5,1,NA,NA,79918
10.1007_s10979-006-9004-5,2,as) for PPI total scores ranged from .85 to .94 (Ed,NA,79918
10.1007_s10979-006-9004-5,3,a for this measure was .84. NPI scores correlate po,0.84,79918
10.1007_s10979-006-9004-5,4,"a was .78.

**State–Trait Anger Expression Inventor",0.78,79918
10.1007_s10979-006-9004-5,5,"a for the T-Ang/R subscale was .73.

**Perceived Eg",0.73,79918
10.1007_s10979-006-9004-5,6,a for this measure was .75. The specific items were,0.75,79918
10.1007_s10979-006-9005-4,1,NA,NA,57319
10.1007_s10979-006-9006-3,1,NA,NA,69180
10.1007_s10979-006-9007-2,1,NA,NA,42707
10.1007_s10979-006-9008-1,1,NA,NA,71992
10.1007_s10979-006-9009-0,1,NA,NA,121937
10.1007_s10979-006-9010-7,1,NA,NA,89346
10.1007_s10979-006-9011-6,1,NA,NA,77473
10.1007_s10979-006-9012-5,1,NA,NA,71103
10.1007_s10979-006-9013-4,1,NA,NA,57852
10.1007_s10979-006-9014-3,1,NA,NA,52660
10.1007_s10979-006-9015-2,1,NA,NA,26564
10.1007_s10979-006-9016-1,1,NA,NA,23744
10.1007_s10979-006-9017-0,1,NA,NA,48581
10.1007_s10979-006-9017-0,2,"α =.69), with higher scores reflecting a better wor",0.69,48581
10.1007_s10979-006-9017-0,3,"α =.88) and work history (Cronbach’s α =.94), consi",0.88,48581
10.1007_s10979-006-9017-0,4,"α =.94), consisting of the same questions used in S",0.94,48581
10.1007_s10979-006-9018-z,1,NA,NA,79737
10.1007_s10979-006-9019-y,1,NA,NA,81036
10.1007_s10979-006-9020-5,1,NA,NA,72438
10.1007_s10979-006-9021-4,1,NA,NA,49421
10.1007_s10979-006-9022-3,1,NA,NA,63886
10.1007_s10979-006-9023-2,1,NA,NA,14470
10.1007_s10979-006-9024-1,1,NA,NA,38576
10.1007_s10979-006-9025-0,1,NA,NA,76908
10.1007_s10979-006-9026-z,1,NA,NA,79712
10.1007_s10979-006-9027-y,1,NA,NA,71847
10.1007_s10979-006-9028-x,1,NA,NA,71592
10.1007_s10979-006-9029-9,1,NA,NA,101156
10.1007_s10979-006-9030-3,1,NA,NA,63117
10.1007_s10979-006-9031-2,1,NA,NA,38634
10.1007_s10979-006-9032-1,1,NA,NA,46240
10.1007_s10979-006-9033-0,1,NA,NA,64692
10.1007_s10979-006-9034-z,1,NA,NA,31430
10.1007_s10979-006-9036-x,1,NA,NA,51275
10.1007_s10979-006-9037-9,1,NA,NA,20922
10.1007_s10979-006-9038-8,1,NA,NA,36570
10.1007_s10979-006-9039-7,1,NA,NA,75073
10.1007_s10979-006-9040-1,1,NA,NA,55433
10.1007_s10979-006-9041-0,1,NA,NA,60722
10.1007_s10979-006-9042-z,1,NA,NA,54888
10.1007_s10979-006-9043-y,1,NA,NA,39813
10.1007_s10979-006-9043-y,2,a’s for the CTQ were .82 (sample 1) and .85 (sample,0.82,39813
10.1007_s10979-006-9043-y,3,"a of the MENT was .86, which suggests sufficient in",0.86,39813
10.1007_s10979-006-9043-y,4,"a was .91, indicating good internal reliability.

#",0.91,39813
10.1007_s10979-006-9044-x,1,NA,NA,31207
10.1007_s10979-006-9045-9,1,NA,NA,78405
10.1007_s10979-006-9046-8,1,NA,NA,71128
10.1007_s10979-006-9047-7,1,NA,NA,58310
10.1007_s10979-006-9048-6,1,NA,NA,51590
10.1007_s10979-006-9049-5,1,NA,NA,57654
10.1007_s10979-006-9050-z,1,NA,NA,68499
10.1007_s10979-006-9051-y,1,NA,NA,52738
10.1007_s10979-006-9052-x,1,NA,NA,59017
10.1007_s10979-006-9053-9,1,NA,NA,59664
10.1007_s10979-006-9054-8,1,NA,NA,49729
10.1007_s10979-006-9055-7,1,NA,NA,59799
10.1007_s10979-006-9056-6,1,NA,NA,35144
10.1007_s10979-006-9057-5,1,NA,NA,75515
10.1007_s10979-006-9057-5,2,"α = .79, and for F2, intraclass r = .86, Cronbach’s",0.79,75515
10.1007_s10979-006-9057-5,3,α = .75. PCL-R cut-off scores described by Hare (20,0.75,75515
10.1007_s10979-006-9058-4,1,NA,NA,27573
10.1007_s10979-006-9058-4,2,and Shavelson (2004) have argued that item homogene,NA,27573
10.1007_s10979-006-9059-3,1,NA,NA,45106
10.1007_s10979-006-9060-x,1,NA,NA,59600
10.1007_s10979-006-9061-9,1,NA,NA,55427
10.1007_s10979-006-9062-8,1,NA,NA,37690
10.1007_s10979-006-9063-7,1,NA,NA,54014
10.1007_s10979-006-9064-6,1,NA,NA,52136
10.1007_s10979-006-9065-5,1,NA,NA,47378
10.1007_s10979-006-9066-4,1,NA,NA,75457
10.1007_s10979-006-9067-3,1,NA,NA,52125
10.1007_s10979-006-9068-2,1,NA,NA,45479
10.1007_s10979-006-9069-1,1,NA,NA,46937
10.1007_s10979-006-9070-8,1,NA,NA,59393
10.1007_s10979-006-9071-7,1,NA,NA,45523
10.1007_s10979-006-9073-5,1,NA,NA,72176
10.1007_s10979-006-9074-4,1,NA,NA,58218
10.1007_s10979-006-9075-3,1,NA,NA,55347
10.1007_s10979-006-9076-2,1,NA,NA,63139
10.1007_s10979-006-9077-1,1,NA,NA,75128
10.1007_s10979-006-9078-0,1,NA,NA,63208
10.1007_s10979-006-9079-z,1,NA,NA,60466
10.1007_s10979-006-9080-6,1,NA,NA,87352
10.1007_s10979-006-9081-5,1,NA,NA,61806
10.1007_s10979-006-9082-4,1,NA,NA,111253
10.1007_s10979-006-9083-3,1,NA,NA,77947
10.1007_s10979-006-9084-2,1,NA,NA,121952
10.1007_s10979-006-9085-1,1,NA,NA,7095
10.1007_s10979-007-9086-8,1,NA,NA,54452
10.1007_s10979-007-9087-7,1,NA,NA,63983
10.1007_s10979-007-9087-7,2,α = .86. The final component of maturity of judgmen,0.86,63983
10.1007_s10979-007-9087-7,3,α = .90. A comprehensive measure of maturity of jud,0.9,63983
10.1007_s10979-007-9087-7,4,"α = .79.

#### Antisocial Decision Making

The anti",0.79,63983
10.1007_s10979-007-9087-7,5,"α = .90. The questionnaire included nine vignettes,",0.9,63983
10.1007_s10979-007-9087-7,6,"α = .74, “Suppose that you didn’t know whether some",0.74,63983
10.1007_s10979-007-9087-7,7,"α = .76, and “Suppose that something bad would happ",0.76,63983
10.1007_s10979-007-9087-7,8,"α = .76, followed by the likelihood of engaging in",0.76,63983
10.1007_s10979-007-9087-7,9,α = .92. This measure asked: “In the last year (12,0.92,63983
10.1007_s10979-007-9088-6,1,NA,NA,63547
10.1007_s10979-007-9089-5,1,NA,NA,49814
10.1007_s10979-007-9090-z,1,NA,NA,49537
10.1007_s10979-007-9090-z,2,a = .64) scales were within acceptable limits of re,0.64,49537
10.1007_s10979-007-9090-z,3,a = .24). Two items that had low correlations with,0.24,49537
10.1007_s10979-007-9090-z,4,a = .78). None of the substantive findings of any a,0.78,49537
10.1007_s10979-007-9091-y,1,NA,NA,55105
10.1007_s10979-007-9092-x,1,NA,NA,67584
10.1007_s10979-007-9093-9,1,NA,NA,14706
10.1007_s10979-007-9094-8,1,NA,NA,67846
10.1007_s10979-007-9095-7,1,NA,NA,44301
10.1007_s10979-007-9096-6,1,NA,NA,76821
10.1007_s10979-007-9097-5,1,NA,NA,55358
10.1007_s10979-007-9098-4,1,NA,NA,28163
10.1007_s10979-007-9099-3,1,NA,NA,67687
10.1007_s10979-007-9100-1,1,NA,NA,64652
10.1007_s10979-007-9101-0,1,NA,NA,67308
10.1007_s10979-007-9102-z,1,NA,NA,48012
10.1007_s10979-007-9103-y,1,NA,NA,68908
10.1007_s10979-007-9104-x,1,NA,NA,34642
10.1007_s10979-007-9105-9,1,NA,NA,29731
10.1007_s10979-007-9106-8,1,NA,NA,66036
10.1007_s10979-007-9107-7,1,NA,NA,87854
10.1007_s10979-007-9108-6,1,NA,NA,32467
10.1007_s10979-007-9109-5,1,NA,NA,52178
10.1007_s10979-007-9110-z,1,NA,NA,54147
10.1007_s10979-007-9111-y,1,NA,NA,104918
10.1007_s10979-007-9112-x,1,NA,NA,47470
10.1007_s10979-007-9113-9,1,NA,NA,61322
10.1007_s10979-007-9114-8,1,NA,NA,84893
10.1007_s10979-007-9114-8,2,a = .91) for the original CPS. Evidence for the con,0.91,84893
10.1007_s10979-007-9115-7,1,NA,NA,77870
10.1007_s10979-007-9116-6,1,NA,NA,90874
10.1007_s10979-007-9117-5,1,NA,NA,43287
10.1007_s10979-007-9118-4,1,NA,NA,65957
10.1007_s10979-007-9119-3,1,NA,NA,65703
10.1007_s10979-007-9120-x,1,NA,NA,12463
10.1007_s10979-007-9122-8,1,NA,NA,75267
10.1007_s10979-007-9123-7,1,NA,NA,69543
10.1007_s10979-007-9124-6,1,NA,NA,3346
10.1007_s10979-007-9125-5,1,NA,NA,78628
10.1007_s10979-008-9126-z,1,NA,NA,40936
10.1007_s10979-008-9127-y,1,NA,NA,63961
10.1007_s10979-008-9128-x,1,NA,NA,50465
10.1007_s10979-008-9129-9,1,NA,NA,32290
10.1007_s10979-008-9130-3,1,NA,NA,137995
10.1007_s10979-008-9131-2,1,NA,NA,66471
10.1007_s10979-008-9131-2,2,"α = .82, mean inter-item correlation = .53).

**Man",0.82,66471
10.1007_s10979-008-9132-1,1,NA,NA,55676
