alpha,observed,predicted,residual,inflation,inflation_for_reporting,group_3_cutoffs,group_1_cutoff
0.41,4.2389897818035787e-4,4.135775195108384e-4,1.0321458669519459e-5,0.024956527331870593,2,non cutoff,non cutoff
0.42,4.573646869840703e-4,4.560766556752328e-4,1.28803130883752e-6,0.0028241553098800054,0,non cutoff,non cutoff
0.43,4.7967515951987863e-4,5.012967070538273e-4,-2.16215475339486e-5,-0.04313123790702866,-4,non cutoff,non cutoff
0.44,5.689170496631119e-4,5.56461209232226e-4,1.2455840430885961e-5,0.022384022864903264,2,non cutoff,non cutoff
0.45,6.246932310026327e-4,5.977766732757563e-4,2.6916557726876372e-5,0.0450277819965379,5,non cutoff,non cutoff
0.46,6.135379947347284e-4,6.101845702566181e-4,3.353424478110267e-6,0.005495754303816547,1,non cutoff,non cutoff
0.47,5.912275221989202e-4,6.201718497683799e-4,-2.8944327569459665e-5,-0.04667146304733072,-5,non cutoff,non cutoff
0.48,6.358484672705368e-4,6.754046103862069e-4,-3.955614311567004e-5,-0.0585665873572454,-6,non cutoff,non cutoff
0.49,7.139351211458659e-4,8.240908370691215e-4,-1.1015571592325565e-4,-0.13366938566508557,-13,non cutoff,non cutoff
0.5,0.001160144571862032,0.0010320882413221702,1.2805633053986187e-4,0.12407498255751226,12,non cutoff,non cutoff
0.51,0.001160144571862032,0.001188644628520529,-2.8500056658496974e-5,-0.023976936398535043,-2,non cutoff,non cutoff
0.52,0.0013720940609522109,0.0012726246453085702,9.94694156436407e-5,0.07816084342726404,8,non cutoff,non cutoff
0.53,0.0012159207532015529,0.001325116390731071,-1.0919563752951833e-4,-0.082404563322377,-8,non cutoff,non cutoff
0.54,0.001383249297220115,0.0014621085959777027,-7.885929875758757e-5,-0.0539353225707937,-5,non cutoff,non cutoff
0.55,0.0017067511489893357,0.0017045712862468051,2.179862742530403e-6,0.0012788334287445746,0,non cutoff,non cutoff
0.56,0.0020748739458301725,0.0019296222271691105,1.452517186610619e-4,0.0752746919142595,8,non cutoff,non cutoff
0.57,0.0019298558743474188,0.002124230737897894,-1.9437486355047495e-4,-0.09150364886576556,-9,non cutoff,non cutoff
0.58,0.0024095310338672973,0.0024909717743616193,-8.144074049432182e-5,-0.032694365039601214,-3,non cutoff,non cutoff
0.59,0.002688411940564901,0.0032206242060820157,-5.322122655171146e-4,-0.16525127784609384,-17,non cutoff,non cutoff
0.6,0.004885993485342019,0.004100635059763799,7.853584255782198e-4,0.19152117029001303,19,non cutoff,non cutoff
0.61,0.00442862879835795,0.004648275091241917,-2.1964629288396764e-4,-0.047253290429780215,-5,non cutoff,non cutoff
0.62,0.004897148721609923,0.005189021545019358,-2.918728234094342e-4,-0.05624814252112453,-6,non cutoff,non cutoff
0.63,0.006023827584668243,0.006051846171489431,-2.8018586821187964e-5,-0.00462975859386261,-0,non cutoff,non cutoff
0.64,0.007284369282941413,0.006898721047358742,3.856482355826707e-4,0.05590141026651896,6,non cutoff,non cutoff
0.65,0.0073513007005488375,0.007482030546600935,-1.3072984605209782e-4,-0.017472508998441327,-2,non cutoff,non cutoff
0.66,0.007540939717103208,0.008339058711806166,-7.981189947029577e-4,-0.09570852326210477,-10,non cutoff,non cutoff
0.67,0.010195885948864397,0.009737757975939908,4.581279729244869e-4,0.04704655569140592,5,non cutoff,non cutoff
0.68,0.011166391504172058,0.011307921865730805,-1.415303615587482e-4,-0.012516036389291108,-1,non cutoff,non cutoff
0.69,0.011646066663691937,0.013671222692263943,-0.002025156028572006,-0.1481327657487409,-15,non cutoff,non cutoff
0.7,0.01909776449065191,0.01679355434613134,0.002304210144520571,0.13720800832441893,14,cutoff,cutoff
0.71,0.018272277006827004,0.019082717669685424,-8.104406628584182e-4,-0.04246987650746814,-4,non cutoff,non cutoff
0.72,0.02135112221676855,0.020821975797952256,5.291464188162953e-4,0.025412882233218914,3,non cutoff,non cutoff
0.73,0.02231047253580831,0.022398149928279626,-8.767739247131701e-5,-0.003914492614437659,-0,non cutoff,non cutoff
0.74,0.02387220561331489,0.02385815363951015,1.4051973804738437e-5,5.889799360445647e-4,0,non cutoff,non cutoff
0.75,0.025277765383070812,0.025248870019835445,2.889536323536834e-5,0.0011444220360223856,0,non cutoff,non cutoff
0.76,0.026471375663736557,0.026520669560253056,-4.929389651649796e-5,-0.0018586972853195105,-0,non cutoff,non cutoff
0.77,0.027296863147561464,0.0281191552125112,-8.222920649497345e-4,-0.02924312834917131,-3,non cutoff,non cutoff
0.78,0.030643434027932712,0.030395992293700536,2.474417342321766e-4,0.008140603927033307,1,non cutoff,non cutoff
0.79,0.032506358484672704,0.033136084699830384,-6.297262151576799e-4,-0.01900424328529382,-2,non cutoff,non cutoff
0.8,0.03670072732140467,0.0360198877894253,6.808395319793625e-4,0.018901767155955707,2,cutoff,non cutoff
0.81,0.03855249654187676,0.03832010092476392,2.323956171128394e-4,0.006064587814346156,1,non cutoff,non cutoff
0.82,0.03992459060282897,0.039834629522417224,8.9961080411749e-5,0.002258363677290376,0,non cutoff,non cutoff
0.83,0.04130783990004908,0.04094076533225308,3.6707456779599745e-4,0.008965991837647014,1,non cutoff,non cutoff
0.84,0.04098433804827986,0.042237889054365624,-0.0012535510060857557,-0.029678353586096162,-3,non cutoff,non cutoff
0.85,0.04498906786845745,0.04405734669489236,9.317211735650854e-4,0.021147918416818845,2,non cutoff,non cutoff
0.86,0.04556914015438847,0.04550858134414151,6.055881024694898e-5,0.0013307118890171221,0,non cutoff,non cutoff
0.87,0.04629423051180224,0.046185911652568974,1.083188592332629e-4,0.0023452792281786206,0,non cutoff,non cutoff
0.88,0.04674043996251841,0.046245880277793805,4.945596847245959e-4,0.010694134953293855,1,non cutoff,non cutoff
0.89,0.04602650484137254,0.045517800350788305,5.087044905842308e-4,0.011175946259789349,1,non cutoff,non cutoff
0.9,0.04438668510999063,0.0438107297208098,5.759553891808355e-4,0.01314644592434755,1,cutoff,non cutoff
0.91,0.04155325509794298,0.04098816664463538,5.650884533076006e-4,0.01378662427638866,1,non cutoff,non cutoff
0.92,0.03764892240417652,0.036794351293637326,8.545711105391929e-4,0.023225606118702613,2,non cutoff,non cutoff
0.93,0.031323903440274865,0.031271641735817465,5.226170445739697e-5,0.001671217165344352,0,non cutoff,non cutoff
0.94,0.025143902547855965,0.025230869138832924,-8.696659097696014e-5,-0.0034468329449305335,-0,non cutoff,non cutoff
0.95,0.019432421578689036,0.019129866278864455,3.0255529982458284e-4,0.015815860676394733,2,non cutoff,non cutoff
0.96,0.012371157021105706,0.01324332263415545,-8.721656130497446e-4,-0.06585700863319366,-7,non cutoff,non cutoff
0.97,0.007752889206193387,0.008225907806831606,-4.730186006382198e-4,-0.05750351350222738,-6,non cutoff,non cutoff
0.98,0.0037370041497478915,0.0043355488849524644,-5.985447352045725e-4,-0.13805512314299173,-14,non cutoff,non cutoff
0.99,8.031770112890991e-4,0.0017128920530376116,-9.097150417485125e-4,-0.5310988746402556,-53,non cutoff,non cutoff
