alpha,observed,predicted,residual,inflation,inflation_for_reporting,group_3_cutoffs,group_1_cutoff
0.23,1.197282169475291e-4,1.3976292475735265e-4,-2.0034707809823555e-5,-0.1433478001738051,-14,non cutoff,non cutoff
0.24,5.986410847376455e-5,1.5475620801065778e-4,-9.489209953689323e-5,-0.6131715215609197,-61,non cutoff,non cutoff
0.25,3.591846508425873e-4,1.8671880382278936e-4,1.7246584701979792e-4,0.923666194774263,92,non cutoff,non cutoff
0.26,2.9932054236882276e-5,1.7358367001276507e-4,-1.436516157758828e-4,-0.8275641122538708,-83,non cutoff,non cutoff
0.27,2.394564338950582e-4,1.878506996830449e-4,5.160573421201329e-5,0.27471675271418294,27,non cutoff,non cutoff
0.28,2.0952437965817593e-4,2.2421052504816166e-4,-1.4686145389985715e-5,-0.06550158779045301,-7,non cutoff,non cutoff
0.29,2.394564338950582e-4,2.611863668036666e-4,-2.1729932908608405e-5,-0.08319704115698634,-8,non cutoff,non cutoff
0.3,3.891167050794696e-4,2.703423247778791e-4,1.187743803015905e-4,0.43934807618148164,44,non cutoff,non cutoff
0.31,1.197282169475291e-4,2.3489229925801453e-4,-1.1516408231048544e-4,-0.4902846226728994,-49,non cutoff,non cutoff
0.32,2.693884881319405e-4,2.3362644836802453e-4,3.576203976391596e-5,0.15307359253940778,15,non cutoff,non cutoff
0.33,2.0952437965817593e-4,2.7484269204942587e-4,-6.531831239124995e-5,-0.23765708269042685,-24,non cutoff,non cutoff
0.34,4.1904875931635186e-4,3.209076258640617e-4,9.814113345229019e-5,0.30582362506356686,31,non cutoff,non cutoff
0.35,2.693884881319405e-4,3.433737582035251e-4,-7.398527007158463e-5,-0.2154657084416216,-22,non cutoff,non cutoff
0.36,3.891167050794696e-4,3.786514100247938e-4,1.0465295054675749e-5,0.02763833641604685,3,non cutoff,non cutoff
0.37,4.789128677901164e-4,3.952917047213701e-4,8.362116306874625e-5,0.21154292404817476,21,non cutoff,non cutoff
0.38,2.9932054236882276e-4,3.6735836565455213e-4,-6.803782328572934e-5,-0.18520831331689114,-19,non cutoff,non cutoff
0.39,3.591846508425873e-4,3.7047813831227633e-4,-1.1293487469689057e-5,-0.03048354626574412,-3,non cutoff,non cutoff
0.4,3.591846508425873e-4,4.458132928795525e-4,-8.662864203696524e-5,-0.19431596908522442,-19,non cutoff,non cutoff
0.41,6.884372474482924e-4,5.286529001064656e-4,1.597843473418268e-4,0.3022481240709127,30,non cutoff,non cutoff
0.42,5.38776976263881e-4,4.865895626664929e-4,5.218741359738807e-5,0.10725140364993235,11,non cutoff,non cutoff
0.43,2.693884881319405e-4,3.7775311399317486e-4,-1.083646258612344e-4,-0.28686626753576483,-29,non cutoff,non cutoff
0.44,2.9932054236882276e-4,3.6748680949854777e-4,-6.8166267129725e-5,-0.1854930989842627,-19,non cutoff,non cutoff
0.45,4.4898081355323414e-4,4.8276075708023373e-4,-3.377994352699955e-5,-0.06997243050844215,-7,non cutoff,non cutoff
0.46,6.884372474482924e-4,6.4426633623383e-4,4.41709112144624e-5,0.06856001738763995,7,non cutoff,non cutoff
0.47,8.081654643958215e-4,7.662260742258034e-4,4.1939390170018106e-5,0.054735007827022564,5,non cutoff,non cutoff
0.48,8.081654643958215e-4,8.522641346077371e-4,-4.4098670211915605e-5,-0.05174296139096879,-5,non cutoff,non cutoff
0.49,8.979616271064683e-4,9.954267941796094e-4,-9.746516707314121e-5,-0.09791294311448384,-10,non cutoff,non cutoff
0.5,0.001287078332185938,0.0012116203756156285,7.545795657030951e-5,0.06227854705065439,6,non cutoff,non cutoff
0.51,0.0013768744948965848,0.0014248749267333923,-4.800043183680769e-5,-0.03368747034299446,-3,non cutoff,non cutoff
0.52,0.0017360591457391721,0.0015934916918497266,1.4256745388944558e-4,0.08946858939939184,9,non cutoff,non cutoff
0.53,0.0015265347660809961,0.0017393823795749349,-2.1284761349393887e-4,-0.1223696502812417,-12,non cutoff,non cutoff
0.54,0.0020952437965817594,0.0019248811315807932,1.7036266500096626e-4,0.08850555091734802,9,non cutoff,non cutoff
0.55,0.0020054476338711128,0.002073348582425182,-6.790094855406937e-5,-0.03274941277585164,-3,non cutoff,non cutoff
0.56,0.002274836122003053,0.0021727598190515013,1.0207630295155202e-4,0.046980021471545896,5,non cutoff,non cutoff
0.57,0.0021251758508186416,0.00230382870277429,-1.786528519556485e-4,-0.07754606570380562,-8,non cutoff,non cutoff
0.58,0.0024244963931874643,0.0026935966402063987,-2.6910024701893437e-4,-0.09990369122167986,-10,non cutoff,non cutoff
0.59,0.003232661857583286,0.00351563639068237,-2.8297453309908405e-4,-0.08049027306949674,-8,non cutoff,non cutoff
0.6,0.004878924840611811,0.00453129129939456,3.4763354121725046e-4,0.07671842709906973,8,non cutoff,non cutoff
0.61,0.005567362088060104,0.005229065712917077,3.382963751430268e-4,0.06469537651962409,6,non cutoff,non cutoff
0.62,0.005327905654165045,0.005609711696642488,-2.8180604247744377e-4,-0.050235387791160324,-5,non cutoff,non cutoff
0.63,0.00604627495585022,0.0060866581028111355,-4.038314696091505e-5,-0.006634699416131928,-1,non cutoff,non cutoff
0.64,0.006674848094824748,0.006700615032882049,-2.5766938057301124e-5,-0.0038454586528033907,-0,non cutoff,non cutoff
0.65,0.007483013559220569,0.007227678887983858,2.5533467123671104e-4,0.03532734024213635,4,non cutoff,non cutoff
0.66,0.007303421233799276,0.007710273979811486,-4.0685274601220955e-4,-0.052767612030066635,-5,non cutoff,non cutoff
0.67,0.008470771349037684,0.008385754306976557,8.501704206112626e-5,0.010138270088642765,1,non cutoff,non cutoff
0.68,0.00933880092190727,0.009235510490990617,1.032904309166538e-4,0.011184052144969758,1,non cutoff,non cutoff
0.69,0.008829955999880271,0.010835193381774673,-0.0020052373818944015,-0.18506705983368132,-19,non cutoff,non cutoff
0.7,0.01511568738962555,0.013281646710975656,0.0018340406786498931,0.13808834992834762,14,cutoff,cutoff
0.71,0.014876230955730492,0.015064175429503581,-1.8794447377308953e-4,-0.012476253655742453,-1,non cutoff,non cutoff
0.72,0.01601364901673202,0.016352571822222786,-3.389228054907667e-4,-0.020725963424919946,-2,non cutoff,non cutoff
0.73,0.018228621030261308,0.017755784782971427,4.728362472898806e-4,0.026629983020708403,3,non cutoff,non cutoff
0.74,0.018498009518393248,0.019277709182089434,-7.796996636961872e-4,-0.04044565961294777,-4,non cutoff,non cutoff
0.75,0.021491214942081473,0.02098367658127398,5.075383608074935e-4,0.024187294292384642,2,non cutoff,non cutoff
0.76,0.022718429165793648,0.02233966625489926,3.787629108943902e-4,0.016954725579721774,2,non cutoff,non cutoff
0.77,0.022269448352240415,0.0236961885547437,-0.0014267402025032849,-0.06020969149562527,-6,non cutoff,non cutoff
0.78,0.0268490526504834,0.02558296269621092,0.0012660899542724824,0.04948957512493268,5,non cutoff,non cutoff
0.79,0.026340207728456404,0.027549002771010786,-0.0012087950425543825,-0.043877996332643,-4,non cutoff,non cutoff
0.8,0.030560627375856804,0.029695103666983115,8.6552370887369e-4,0.029147017588493362,3,cutoff,non cutoff
0.81,0.03097967613517316,0.031889040455069816,-9.093643198966595e-4,-0.028516515609113724,-3,non cutoff,non cutoff
0.82,0.034391930318177735,0.03435888331497839,3.3047003199344615e-5,9.618183133717206e-4,0,non cutoff,non cutoff
0.83,0.037265407524918436,0.0370816064990478,1.8380102587063795e-4,0.004956662971852488,0,non cutoff,non cutoff
0.84,0.0391810589960789,0.03998410471916852,-8.030457230896282e-4,-0.02008412414707994,-2,non cutoff,non cutoff
0.85,0.04444910054177018,0.04280326170321311,0.001645838838557081,0.03845124817750811,4,non cutoff,non cutoff
0.86,0.0439103235655063,0.0448536650639265,-9.43341498420196e-4,-0.021031536599645184,-2,non cutoff,non cutoff
0.87,0.04714298542308959,0.046441789953226786,7.011954698628031e-4,0.015098373050844938,2,non cutoff,non cutoff
0.88,0.047352509802747765,0.04775195831049473,-3.9944850774696226e-4,-0.008365070708716393,-1,non cutoff,non cutoff
0.89,0.04932802538238199,0.0487937098715598,5.343155108221964e-4,0.010950499812961034,1,non cutoff,non cutoff
0.9,0.050196054955251576,0.048964713397843855,0.001231341557407717,0.025147529148244585,3,cutoff,non cutoff
0.91,0.04753210212816906,0.047832451242488104,-3.0034911431904733e-4,-0.006279191354764957,-1,non cutoff,non cutoff
0.92,0.047202849531563354,0.04526349880275471,0.0019393507288086465,0.042845798051533324,4,non cutoff,non cutoff
0.93,0.04061779759944925,0.04071661090461453,-9.881330516527952e-5,-0.0024268548626693587,-0,non cutoff,non cutoff
0.94,0.03579873686731121,0.034731885561240766,0.0010668513060704354,0.030716769010116662,3,non cutoff,non cutoff
0.95,0.02801640276572181,0.02765369113302071,3.6271163270110043e-4,0.013116210452932764,1,non cutoff,non cutoff
0.96,0.019156514711604657,0.020273197155709303,-0.0011166824441046464,-0.05508171382776539,-6,non cutoff,non cutoff
0.97,0.01379867700320273,0.013555773605324995,2.4290339787773617e-4,0.01791881488654523,2,non cutoff,non cutoff
0.98,0.006585051932114101,0.0076391212860991995,-0.0010540693539850988,-0.13798306303935426,-14,non cutoff,non cutoff
0.99,0.0020054476338711128,0.0032456185424768746,-0.0012401709086057619,-0.382106181726252,-38,non cutoff,non cutoff
