alpha,observed,predicted,residual,inflation,inflation_for_reporting,group_3_cutoffs,group_1_cutoff
0.26,7.406310176270182e-5,1.153200131574453e-4,-4.125691139474348e-5,-0.35776020367267747,-36,non cutoff,non cutoff
0.27,1.3331358317286327e-4,1.1348210172375887e-4,1.98314814491044e-5,0.17475426651313453,17,non cutoff,non cutoff
0.28,1.0368834246778255e-4,1.1949283321893164e-4,-1.580449075114907e-5,-0.1322630849516515,-13,non cutoff,non cutoff
0.29,1.3331358317286327e-4,1.3251282160237407e-4,8.007615704892085e-7,0.006042898798819696,1,non cutoff,non cutoff
0.3,1.4812620352540364e-4,1.547608159381127e-4,-6.634612412709049e-6,-0.04287010489374887,-4,non cutoff,non cutoff
0.31,1.7775144423048437e-4,1.8531004882588414e-4,-7.558604595399795e-6,-0.040788962300159826,-4,non cutoff,non cutoff
0.32,2.3700192564064584e-4,2.149043591686994e-4,2.2097566471946453e-5,0.10282511977618802,10,non cutoff,non cutoff
0.33,2.2218930528810547e-4,2.3428787742861174e-4,-1.2098572140506262e-5,-0.05163977015495713,-5,non cutoff,non cutoff
0.34,2.518145459931862e-4,2.5341716865097776e-4,-1.6026226577915345e-6,-0.006324049259656905,-1,non cutoff,non cutoff
0.35,2.962524070508073e-4,2.652526743456024e-4,3.099973270520487e-5,0.1168686905105989,12,non cutoff,non cutoff
0.36,2.3700192564064584e-4,2.669223008710386e-4,-2.9920375230392745e-5,-0.1120939506843549,-11,non cutoff,non cutoff
0.37,2.518145459931862e-4,3.000332834290421e-4,-4.8218737435855935e-5,-0.16071129470960732,-16,non cutoff,non cutoff
0.38,4.147533698711302e-4,3.6740771342181304e-4,4.734565644931722e-5,0.12886407856919613,13,non cutoff,non cutoff
0.39,3.999407495185898e-4,4.274984393198874e-4,-2.7557689801297537e-5,-0.06446266761848174,-6,non cutoff,non cutoff
0.4,5.184417123389127e-4,4.680356060729669e-4,5.040610626594583e-5,0.10769716152340658,11,non cutoff,non cutoff
0.41,4.740038512812917e-4,4.766128568765881e-4,-2.609005595296393e-6,-0.005474056265276084,-1,non cutoff,non cutoff
0.42,4.4437861057621095e-4,4.838267567043805e-4,-3.944814612816955e-5,-0.08153361834900019,-8,non cutoff,non cutoff
0.43,5.036290919863724e-4,5.401825666748458e-4,-3.655347468847332e-5,-0.0676687419097628,-7,non cutoff,non cutoff
0.44,6.51755295511776e-4,6.398754382770635e-4,1.1879857234712437e-5,0.01856589036563161,2,non cutoff,non cutoff
0.45,7.70256258332099e-4,7.306601527093969e-4,3.959610562270191e-5,0.054192233524537725,5,non cutoff,non cutoff
0.46,7.70256258332099e-4,7.811928100243322e-4,-1.0936551692233287e-5,-0.01399981099658687,-1,non cutoff,non cutoff
0.47,8.887572211524219e-4,7.789201941134017e-4,1.0983702703902031e-4,0.14101191350423403,14,non cutoff,non cutoff
0.48,5.628795733965339e-4,7.877814070223414e-4,-2.2490183362580755e-4,-0.285487613214803,-29,non cutoff,non cutoff
0.49,9.035698415049622e-4,9.745190128101008e-4,-7.09491713051387e-5,-0.0728042966555893,-7,non cutoff,non cutoff
0.5,0.001377573692786254,0.0012682906411396132,1.092830516466406e-4,0.08616562174459097,9,non cutoff,non cutoff
0.51,0.0015701377573692787,0.0014735974366855617,9.654032068371704e-5,0.06551336089512816,7,non cutoff,non cutoff
0.52,0.0014516367945489558,0.0016131600669385255,-1.615232723895696e-4,-0.10012848427131626,-10,non cutoff,non cutoff
0.53,0.001910828025477707,0.0017778623683312408,1.329656571464663e-4,0.0747896234910872,7,non cutoff,non cutoff
0.54,0.0018812027847726262,0.001905823044942028,-2.4620260169401774e-5,-0.012918439744310395,-1,non cutoff,non cutoff
0.55,0.0018960154051251667,0.0020751891702262696,-1.7917376510110273e-4,-0.0863409310687403,-9,non cutoff,non cutoff
0.56,0.0024885202192267814,0.002343160829981409,1.4535938924537222e-4,0.06203560053815238,6,non cutoff,non cutoff
0.57,0.0025477707006369425,0.002604217365066017,-5.644666442907453e-5,-0.021675097165955504,-2,non cutoff,non cutoff
0.58,0.002799585246630129,0.002971484463159273,-1.7189921652914386e-4,-0.05784960973559372,-6,non cutoff,non cutoff
0.59,0.003125462894386017,0.0037803382438702927,-6.548753494842757e-4,-0.17323194572499878,-17,non cutoff,non cutoff
0.6,0.005599170493260258,0.004927301432057285,6.718690612029727e-4,0.13635639517236697,14,non cutoff,non cutoff
0.61,0.005806547178195823,0.005785727602772078,2.0819575423745018e-5,0.0035984368523969135,0,non cutoff,non cutoff
0.62,0.006236113168419493,0.006409942194952541,-1.7382902653304778e-4,-0.027118657430316273,-3,non cutoff,non cutoff
0.63,0.007272996593097319,0.007048243067209077,2.247535258882427e-4,0.031887879538927244,3,non cutoff,non cutoff
0.64,0.007450748037327803,0.007637457925684642,-1.8670988835683855e-4,-0.02444660123480835,-2,non cutoff,non cutoff
0.65,0.008265442156717524,0.008254898565406,1.0543591311523714e-5,0.0012772526794828654,0,non cutoff,non cutoff
0.66,0.008798696489408977,0.009038065810424092,-2.3936932101511487e-4,-0.026484573805496958,-3,non cutoff,non cutoff
0.67,0.009998518737964746,0.010099850244700767,-1.0133150673602098e-4,-0.010032971210557129,-1,non cutoff,non cutoff
0.68,0.011346467190045919,0.011606554446995038,-2.6008725694911974e-4,-0.02240865350150978,-2,non cutoff,non cutoff
0.69,0.012309287512961042,0.014180348065256032,-0.0018710605522949896,-0.13194743483619897,-13,non cutoff,non cutoff
0.7,0.019745222929936305,0.017416910077439993,0.0023283128524963148,0.13368116630010962,13,cutoff,cutoff
0.71,0.019226781217597393,0.019449562681128497,-2.2278146353110317e-4,-0.011454317363508881,-1,non cutoff,non cutoff
0.72,0.020826544215671754,0.020465037593890928,3.6150662178082273e-4,0.017664596027360258,2,non cutoff,non cutoff
0.73,0.02110798400237002,0.02130253114429889,-1.945471419288669e-4,-0.009132583382277293,-1,non cutoff,non cutoff
0.74,0.021522737372241148,0.02266472239355648,-0.0011419850213153326,-0.050386014065629814,-5,non cutoff,non cutoff
0.75,0.025699896311657533,0.024539180913610566,0.0011607153980469631,0.04730049475299225,5,non cutoff,non cutoff
0.76,0.02564064583024737,0.025913535447646633,-2.7288961739926345e-4,-0.010530775237156842,-1,non cutoff,non cutoff
0.77,0.02673677973633536,0.027144042978113778,-4.072632417784172e-4,-0.015003779728273825,-2,non cutoff,non cutoff
0.78,0.02889942230780625,0.02885873894919551,4.068335861073802e-5,0.001409741384831964,0,non cutoff,non cutoff
0.79,0.0300548066953044,0.031245124915603335,-0.0011903182202989359,-0.03809612614813096,-4,non cutoff,non cutoff
0.8,0.035668789808917196,0.033876540920585146,0.001792248888332053,0.05290530968121909,5,cutoff,non cutoff
0.81,0.0348985335505851,0.035686904226856955,-7.883706762718524e-4,-0.02209131594212499,-2,non cutoff,non cutoff
0.82,0.0373574285291068,0.0371132432039259,2.44185325180899e-4,0.006579466090828268,1,non cutoff,non cutoff
0.83,0.03839431195378462,0.03862423126270237,-2.2991930891774537e-4,-0.005952721941673178,-1,non cutoff,non cutoff
0.84,0.04048289142349282,0.04011792302276126,3.6496840073155565e-4,0.00909739022442646,1,non cutoff,non cutoff
0.85,0.0413568360242927,0.04137346856729903,-1.663254300632744e-5,-4.0200987691607626e-4,-0,non cutoff,non cutoff
0.86,0.04279366019848911,0.04214215718792458,6.515030105645359e-4,0.015459650241901102,2,non cutoff,non cutoff
0.87,0.04156421270922826,0.042446671417446506,-8.824587082182411e-4,-0.02078982117442396,-2,non cutoff,non cutoff
0.88,0.04350466597541105,0.04266719673253601,8.374692428750396e-4,0.019627941533745696,2,non cutoff,non cutoff
0.89,0.04261590875425863,0.042414232370966205,2.0167638329241733e-4,0.004754922393231276,0,non cutoff,non cutoff
0.9,0.041608650570285885,0.04165372218241201,-4.5071612126132974e-5,-0.001082054850434444,-0,cutoff,non cutoff
0.91,0.04094208265442157,0.04050424062013635,4.378420342852252e-4,0.010809782570458948,1,non cutoff,non cutoff
0.92,0.03952007110057769,0.038175511033043515,0.0013445600675341752,0.03522048641000164,4,non cutoff,non cutoff
0.93,0.03430602873648348,0.03404430573883317,2.617229976503088e-4,0.00768771728400286,1,non cutoff,non cutoff
0.94,0.028958672789216412,0.028906812932000613,5.185985721579911e-5,0.0017940357983357025,0,non cutoff,non cutoff
0.95,0.023670567323359502,0.02345222483021611,2.1834249314339526e-4,0.009310097217816171,1,non cutoff,non cutoff
0.96,0.017775144423048436,0.017788093216429948,-1.2948793381513112e-5,-7.279472411102494e-4,-0,non cutoff,non cutoff
0.97,0.011894534143089913,0.012125741926504834,-2.3120778341491954e-4,-0.019067516430441134,-2,non cutoff,non cutoff
0.98,0.006369426751592357,0.00693930304497708,-5.698762933847223e-4,-0.08212298694711428,-8,non cutoff,non cutoff
0.99,0.0017775144423048438,0.0029908723395439475,-0.0012133578972391035,-0.4056869566770337,-41,non cutoff,non cutoff
