doi,regex_label,exemplar,alpha,pre,post,all,regex_inclusion,regex_exclusion,location_start,location_end,alpha_string,substring_between_cronbach_and_estimate,substring_immediately_before_estimate,substring_immediately_after_estimate,exclude_master,exclude_comparison_present,exclude_comparison_present_immediately_before_estimate,exclude_comparison_present_immediately_after_estimate,exclude_comparison_present_after_estimate,exclude_cutoff_present,exclude_range_present,exclude_p_present,exclude_significance_present,exclude_doi_present,exclude_psychometrika_present,exclude_odd_string_present
10.1023_A:1021379918556,test-retest reliability,2,NA,s across the seven mornings. test-retest reliabili,ties (split-half) for the seven morning feeling ite,s across the seven mornings. test-retest reliabilities (split-half) for the seven morning feeling ite,test(-| )retest reliabilit,none,23452,23473,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1023202432653,test-retest reliability,1,NA,"(1984, 1987; kubacki, 1994). test-retest reliabili",ty of the pvms over a two- to three-week period for,"(1984, 1987; kubacki, 1994). test-retest reliability of the pvms over a two- to three-week period for",test(-| )retest reliabilit,none,16213,16234,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1023350025033,test-retest reliability,1,0.92,lpha of .88 and had a 2-week test-retest reliabili,"ty of .92 (hill et al., 2001). for the present stud","lpha of .88 and had a 2-week test-retest reliability of .92 (hill et al., 2001). for the present stud",test(-| )retest reliabilit,none,12039,12060,.92,ty of , of ,2 (hill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1025321428651,test-retest reliability,1,NA,ch and has demonstrated high test-retest reliabili,"ty and construct validity (levin &amp; fireman, 200","ch and has demonstrated high test-retest reliability and construct validity (levin &amp; fireman, 200",test(-| )retest reliabilit,none,10356,10377,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1025321428651,test-retest reliability,2,NA,ct validity and internal and test-retest reliabili,"ty (levin &amp; young, 2001–02; roche &amp; mcconke","ct validity and internal and test-retest reliability (levin &amp; young, 2001–02; roche &amp; mcconke",test(-| )retest reliabilit,none,10801,10822,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1025321428651,test-retest reliability,3,NA,aming. the sipi demonstrates test-retest reliabili,ty and construct validity for the three subfactors ,aming. the sipi demonstrates test-retest reliability and construct validity for the three subfactors ,test(-| )retest reliabilit,none,11257,11278,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1023_A:1025780806538,test-retest reliability,1,0.89,women = .81; men = .84). the test-retest reliabili,ty for the entire sample was high at .89. validity ,women = .81; men = .84). the test-retest reliability for the entire sample was high at .89. validity ,test(-| )retest reliabilit,none,18195,18216,.89,ty for the entire sample was high at , at ,9. vali,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1025780806538,test-retest reliability,2,0.81," .82 and .87, respectively). test-retest reliabili",ty was also high at .81 for the entire sample. vali," .82 and .87, respectively). test-retest reliability was also high at .81 for the entire sample. vali",test(-| )retest reliabilit,none,19521,19542,.81,ty was also high at , at ,1 for t,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1023_A:1025798204956,test-retest reliability,1,0.67,"orted as .81, and its 5-week test-retest reliabili","ty is .67 (kassin &amp; wrightsman, 1983). the scal","orted as .81, and its 5-week test-retest reliability is .67 (kassin &amp; wrightsman, 1983). the scal",test(-| )retest reliabilit,none,14235,14256,.67,ty is , is ,7 (kass,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1037_0002-9432.71.4.436,test-retest reliability,1,NA,bach’s alpha range .73-.83). test-retest reliabili,ty over two weeks has been reported as .75 (bray &a,bach’s alpha range .73-.83). test-retest reliability over two weeks has been reported as .75 (bray &a,test(-| )retest reliabilit,none,19107,19128,.75,ty over two weeks has been reported as , as ,5 (bray,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1037_0002-9432.71.4.436,test-retest reliability,2,0.75,al consistency and two-month test-retest reliabili,ty (.75 and .85 respectively). cronbach’s alpha for,al consistency and two-month test-retest reliability (.75 and .85 respectively). cronbach’s alpha for,test(-| )retest reliabilit,none,20283,20304,.75,ty (,ty (,5 and .,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1037_0002-9432.71.4.436,test-retest reliability,3,NA,.70 to .76 and the two-month test-retest reliabili,ties range from .68 to .81 (hetherington &amp; clin,.70 to .76 and the two-month test-retest reliabilities range from .68 to .81 (hetherington &amp; clin,test(-| )retest reliabilit,none,22231,22252,.68,ties range from ,rom ,8 to .8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1037_0002-9432.71.4.457,test-retest reliability,1,0.85,ikert scale. moderately high test-retest reliabili,ty (.85) and cronbach’s alpha coefficients for inte,ikert scale. moderately high test-retest reliability (.85) and cronbach’s alpha coefficients for inte,test(-| )retest reliabilit,none,17110,17131,.85,ty (,ty (,5) and ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1037_0002-9432.72.1.102,test-retest reliability,1,NA, been shown to have adequate test-retest reliabili,"ty (richters &amp; martinez, 1993). of the original"," been shown to have adequate test-retest reliability (richters &amp; martinez, 1993). of the original",test(-| )retest reliabilit,none,13217,13238,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1037_0002-9432.72.1.110,test-retest reliability,1,NA,"nal-consistency reliability, test-retest reliabili","ty, and interrater reliability when examined across","nal-consistency reliability, test-retest reliability, and interrater reliability when examined across",test(-| )retest reliabilit,none,12557,12578,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1037_0002-9432.72.1.128,test-retest reliability,1,NA," = .82), as well as adequate test-retest reliabili","ty over a period ranging from 2 to 4 weeks, with a "," = .82), as well as adequate test-retest reliability over a period ranging from 2 to 4 weeks, with a ",test(-| )retest reliabilit,none,13881,13902,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1037_0002-9432.72.1.128,test-retest reliability,2,NA,"ch parent.

the paq has good test-retest reliabili","ty (r = .92), good internal consistency (cronbach's","ch parent.

the paq has good test-retest reliability (r = .92), good internal consistency (cronbach's",test(-| )retest reliabilit,none,20955,20976,.92,ty (r = ,r = ,"2), goo",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10.1037_0002-9432.72.1.128,test-retest reliability,3,NA, to have good split-half and test-retest reliabili,"ty, as well as good construct and criterion-related"," to have good split-half and test-retest reliability, as well as good construct and criterion-related",test(-| )retest reliabilit,none,22374,22395,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1037_0002-9432.72.1.70,test-retest reliability,1,NA,dergarten peer unlikability. test-retest reliabili,"ty equaled .48, p < .001, from age 4 to age 5.

**t","dergarten peer unlikability. test-retest reliability equaled .48, p < .001, from age 4 to age 5.

**t",test(-| )retest reliabilit,none,26440,26461,.48,ty equaled ,led ,"8, p < ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10.1037_0002-9432.72.2.163,test-retest reliability,1,NA, of marital roles in public. test-retest reliabili,ties for the scale were obtained from one sample of, of marital roles in public. test-retest reliabilities for the scale were obtained from one sample of,test(-| )retest reliabilit,none,29460,29481,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA
10.1037_0002-9432.72.2.163,test-retest reliability,2,NA,tween .78 and .88. four-week test-retest reliabili,ties (n = 14) have ranged from .78 to .86 (o'neil e,tween .78 and .88. four-week test-retest reliabilities (n = 14) have ranged from .78 to .86 (o'neil e,test(-| )retest reliabilit,none,30762,30783,.78,ties (n = 14) have ranged from ,rom ,8 to .8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
