doi,alpha
10.1037_0012-1649.29.1.3,TRUE
10.1037_0012-1649.29.2.181,TRUE
10.1037_0012-1649.29.2.244,TRUE
10.1037_0012-1649.29.2.368,TRUE
10.1037_0012-1649.29.3.564,TRUE
10.1037_0012-1649.29.4.622,TRUE
10.1037_0012-1649.29.5.870,TRUE
10.1037_0012-1649.30.1.102,TRUE
10.1037_0012-1649.30.4.591,TRUE
10.1037_0012-1649.30.6.928,TRUE
10.1037_0012-1649.30.6.990,TRUE
10.1037_0012-1649.31.3.364,TRUE
10.1037_0012-1649.31.3.464,TRUE
10.1037_0012-1649.31.4.649,TRUE
10.1037_0012-1649.31.4.668,TRUE
10.1037_0012-1649.31.5.759,TRUE
10.1037_0012-1649.31.6.883,TRUE
10.1037_0012-1649.31.6.985,TRUE
10.1037_0012-1649.32.1.26,TRUE
10.1037_0012-1649.32.1.79,TRUE
10.1037_0012-1649.32.2.231,TRUE
10.1037_0012-1649.32.4.636,TRUE
10.1037_0012-1649.32.4.675,TRUE
10.1037_0012-1649.32.4.696,TRUE
10.1037_0012-1649.32.4.732,TRUE
10.1037_0012-1649.32.5.892,TRUE
10.1037_0012-1649.32.6.1129,TRUE
10.1037_0012-1649.32.6.988,TRUE
10.1037_0012-1649.32.6.999,TRUE
10.1037_0012-1649.33.4.610,TRUE
10.1037_0012-1649.33.4.669,TRUE
10.1037_0012-1649.33.5.814,TRUE
10.1037_0012-1649.33.5.824,TRUE
10.1037_0012-1649.33.5.856,TRUE
10.1037_0012-1649.33.5.861,TRUE
10.1037_0012-1649.33.5.869,TRUE
10.1037_0012-1649.33.6.1000,TRUE
10.1037_0012-1649.33.6.1024,TRUE
10.1037_0012-1649.33.6.906,TRUE
10.1037_0012-1649.34.2.288,TRUE
10.1037_0012-1649.34.3.587,TRUE
10.1037_0012-1649.34.4.687,TRUE
10.1037_0012-1649.34.4.747,TRUE
10.1037_0012-1649.34.4.757,TRUE
10.1037_0012-1649.34.5.1026,TRUE
10.1037_0012-1649.34.5.1119,TRUE
10.1037_0012-1649.34.5.970,TRUE
10.1037_0012-1649.34.6.1162,TRUE
10.1037_0012-1649.34.6.1189,TRUE
10.1037_0012-1649.34.6.1373,TRUE
10.1037_0012-1649.34.6.1417,TRUE
10.1037_0012-1649.34.6.1428,TRUE
10.1037_0012-1649.34.6.1438,TRUE
10.1037_0012-1649.35.1.246,TRUE
10.1037_0012-1649.35.1.258,TRUE
10.1037_0012-1649.35.1.45,TRUE
10.1037_0012-1649.35.1.94,TRUE
10.1037_0012-1649.35.2.347,TRUE
10.1037_0012-1649.35.2.358,TRUE
10.1037_0012-1649.35.2.376,TRUE
10.1037_0012-1649.35.2.478,TRUE
10.1037_0012-1649.35.2.569,TRUE
10.1037_0012-1649.35.3.868,TRUE
10.1037_0012-1649.35.6.1355,TRUE
10.1037_0012-1649.35.6.1389,TRUE
10.1037_0012-1649.35.6.1399,TRUE
10.1037_0012-1649.35.6.1453,TRUE
10.1037_0012-1649.36.1.44,TRUE
10.1037_0012-1649.36.2.209,TRUE
10.1037_0012-1649.36.2.220,TRUE
10.1037_0012-1649.36.2.233,TRUE
10.1037_0012-1649.36.2.251,TRUE
10.1037_0012-1649.36.3.339,TRUE
10.1037_0012-1649.36.4.463,TRUE
10.1037_0012-1649.36.5.531,TRUE
10.1037_0012-1649.36.5.614,TRUE
10.1037_0012-1649.37.1.115,TRUE
10.1037_0012-1649.37.1.126,TRUE
10.1037_0012-1649.37.1.3,TRUE
10.1037_0012-1649.37.1.37,TRUE
10.1037_0012-1649.37.2.163,TRUE
10.1037_0012-1649.37.2.243,TRUE
10.1037_0012-1649.37.2.254,TRUE
10.1037_0012-1649.37.3.321,TRUE
10.1037_0012-1649.37.4.451,TRUE
10.1037_0012-1649.37.4.464,TRUE
10.1037_0012-1649.37.4.491,TRUE
10.1037_0012-1649.37.4.502,TRUE
10.1037_0012-1649.37.5.597,TRUE
10.1037_0012-1649.37.5.608,TRUE
10.1037_0012-1649.37.6.839,TRUE
10.1037_0012-1649.37.6.847,TRUE
10.1037_0012-1649.37.6.863,TRUE
10.1037_0012-1649.37.6.875,TRUE
10.1037_0012-1649.38.1.143,TRUE
10.1037_0012-1649.38.1.42,TRUE
10.1037_0012-1649.38.1.93,TRUE
10.1037_0012-1649.38.2.267,TRUE
10.1037_0012-1649.38.3.446,TRUE
10.1037_0012-1649.38.6.993,TRUE
10.1037_0012-1649.39.1.48,TRUE
10.1037_0012-1649.39.1.85,TRUE
10.1037_0012-1649.39.2.274,TRUE
10.1037_0012-1649.39.2.309,TRUE
10.1037_0012-1649.39.3.451,TRUE
10.1037_0012-1649.39.3.470,TRUE
10.1037_0012-1649.39.3.572,TRUE
10.1037_0012-1649.39.3.581,TRUE
10.1037_0012-1649.39.3.618,TRUE
10.1037_0012-1649.39.4.761,TRUE
10.1037_0012-1649.39.6.949,TRUE
10.1037_0012-1649.39.6.992,TRUE
10.1037_0012-1649.40.1.16,TRUE
10.1037_0012-1649.40.1.43,TRUE
10.1037_0012-1649.40.2.244,TRUE
10.1037_0012-1649.40.3.412,TRUE
10.1037_0012-1649.40.3.430,TRUE
10.1037_0012-1649.40.4.572,TRUE
10.1037_0012-1649.40.4.633,TRUE
10.1037_0012-1649.40.5.651,TRUE
10.1037_0012-1649.40.5.703,TRUE
10.1037_0012-1649.40.5.776,TRUE
10.1037_0012-1649.40.5.868,TRUE
10.1037_0012-1649.40.6.1105,TRUE
10.1037_0012-1649.40.6.1133,TRUE
10.1037_0012-1649.40.6.1173,TRUE
10.1037_0012-1649.40.6.899,TRUE
10.1037_0012-1649.40.6.927,TRUE
10.1037_0012-1649.41.2.319,TRUE
10.1037_0012-1649.41.4.648,TRUE
10.1037_0012-1649.41.5.784,TRUE
10.1037_0012-1649.41.6.860,TRUE
10.1037_0012-1649.42.1.153,TRUE
10.1037_0012-1649.42.1.38,TRUE
10.1037_0012-1649.42.1.70,TRUE
10.1037_0012-1649.42.2.305,TRUE
10.1037_0012-1649.42.2.350,TRUE
10.1037_0012-1649.42.3.543,TRUE
10.1037_0012-1649.42.3.566,TRUE
10.1037_0012-1649.42.4.714,TRUE
10.1037_0012-1649.42.4.732,TRUE
10.1037_0012-1649.42.5.888,TRUE
10.1037_0012-1649.42.5.929,TRUE
10.1037_0012-1649.42.5.937,TRUE
10.1037_0012-1649.42.6.1128,TRUE
10.1037_0012-1649.42.6.1143,TRUE
10.1037_0012-1649.42.6.1299,TRUE
10.1037_0012-1649.43.1.1,TRUE
10.1037_0012-1649.43.1.197,TRUE
10.1037_0012-1649.43.1.222,TRUE
10.1037_0012-1649.43.1.261,TRUE
10.1037_0012-1649.43.1.27,TRUE
10.1037_0012-1649.43.1.83,TRUE
10.1037_0012-1649.43.2.267,TRUE
10.1037_0012-1649.43.2.318,TRUE
10.1037_0012-1649.43.2.508,TRUE
10.1037_0012-1649.43.3.539,TRUE
10.1037_0012-1649.43.3.620,TRUE
10.1037_0012-1649.43.3.633,TRUE
10.1037_0012-1649.43.3.747,TRUE
10.1037_0012-1649.43.3.760,TRUE
10.1037_0012-1649.43.3.778,TRUE
10.1037_0012-1649.43.4.1019,TRUE
10.1037_0012-1649.43.4.1038,TRUE
10.1037_0012-1649.43.4.811,TRUE
10.1037_0012-1649.43.4.838,TRUE
10.1037_0012-1649.43.4.865,TRUE
10.1037_0012-1649.43.4.877,TRUE
10.1037_0012-1649.43.4.974,TRUE
10.1037_0012-1649.43.4.991,TRUE
10.1037_0012-1649.43.5.1140,TRUE
10.1037_0012-1649.43.5.1187,TRUE
10.1037_0012-1649.43.5.1202,TRUE
10.1037_0012-1649.44.1.117,TRUE
10.1037_0012-1649.44.1.139,TRUE
10.1037_0012-1649.44.1.155,TRUE
10.1037_0012-1649.44.1.22,TRUE
10.1037_0012-1649.44.1.233,TRUE
10.1037_0012-1649.44.1.293,TRUE
10.1037_0012-1649.44.1.46,TRUE
10.1037_0012-1649.44.1.59,TRUE
10.1037_0012-1649.44.1.81,TRUE
10.1037_0012-1649.44.2.481,TRUE
10.1037_0012-1649.44.2.507,TRUE
10.1037_0012-1649.44.3.637,TRUE
10.1037_0012-1649.44.3.655,TRUE
10.1037_0012-1649.44.3.771,TRUE
10.1037_0012-1649.44.4.1012,TRUE
10.1037_0012-1649.44.4.1124,TRUE
10.1037_0012-1649.44.4.1177,TRUE
10.1037_0021-843X.100.1.31,TRUE
10.1037_0021-843X.100.1.5,TRUE
10.1037_0021-843X.100.1.84,TRUE
10.1037_0021-843X.100.1.90,TRUE
10.1037_0021-843X.100.1.98,TRUE
10.1037_0021-843X.100.2.122,TRUE
10.1037_0021-843X.100.2.156,TRUE
10.1037_0021-843X.100.2.181,TRUE
10.1037_0021-843X.100.2.191,TRUE
10.1037_0021-843X.100.3.346,TRUE
10.1037_0021-843X.100.3.362,TRUE
10.1037_0021-843X.101.1.139,TRUE
10.1037_0021-843X.101.1.165,TRUE
10.1037_0021-843X.101.1.184,TRUE
10.1037_0021-843X.101.2.234,TRUE
10.1037_0021-843X.101.2.257,TRUE
10.1037_0021-843X.101.3.383,TRUE
10.1037_0021-843X.101.3.398,TRUE
10.1037_0021-843X.101.3.423,TRUE
10.1037_0021-843X.101.3.469,TRUE
10.1037_0021-843X.101.3.479,TRUE
10.1037_0021-843X.101.3.514,TRUE
10.1037_0021-843X.101.3.561,TRUE
10.1037_0021-843X.102.1.101,TRUE
10.1037_0021-843X.102.1.110,TRUE
10.1037_0021-843X.102.1.3,TRUE
10.1037_0021-843X.102.1.47,TRUE
10.1037_0021-843X.102.1.66,TRUE
10.1037_0021-843X.102.2.187,TRUE
10.1037_0021-843X.102.2.206,TRUE
10.1037_0021-843X.102.2.226,TRUE
10.1037_0021-843X.102.2.248,TRUE
10.1037_0021-843X.102.2.271,TRUE
10.1037_0021-843X.102.2.282,TRUE
10.1037_0021-843X.102.3.438,TRUE
10.1037_0021-843X.102.3.474,TRUE
10.1037_0021-843X.102.4.534,TRUE
10.1037_0021-843X.102.4.553,TRUE
10.1037_0021-843X.102.4.565,TRUE
10.1037_0021-843X.102.4.607,TRUE
10.1037_0021-843X.102.4.624,TRUE
10.1037_0021-843X.103.2.267,TRUE
10.1037_0021-843X.103.2.316,TRUE
10.1037_0021-843X.103.2.339,TRUE
10.1037_0021-843X.103.2.383,TRUE
10.1037_0021-843X.103.4.719,TRUE
10.1037_0021-843X.103.4.743,TRUE
10.1037_0021-843X.103.4.836,TRUE
10.1037_0021-843X.104.1.104,TRUE
10.1037_0021-843X.104.1.123,TRUE
10.1037_0021-843X.104.1.140,TRUE
10.1037_0021-843X.104.1.150,TRUE
10.1037_0021-843X.104.1.197,TRUE
10.1037_0021-843X.104.1.32,TRUE
10.1037_0021-843X.104.4.632,TRUE
10.1037_0021-843X.105.1.146,TRUE
10.1037_0021-843X.105.1.34,TRUE
10.1037_0021-843X.105.1.42,TRUE
10.1037_0021-843X.105.2.166,TRUE
10.1037_0021-843X.105.2.204,TRUE
10.1037_0021-843X.105.2.220,TRUE
10.1037_0021-843X.105.2.237,TRUE
10.1037_0021-843X.105.2.258,TRUE
10.1037_0021-843X.105.2.271,TRUE
10.1037_0021-843X.105.3.349,TRUE
10.1037_0021-843X.105.3.381,TRUE
10.1037_0021-843X.105.3.401,TRUE
10.1037_0021-843X.105.4.530,TRUE
10.1037_0021-843X.105.4.541,TRUE
10.1037_0021-843X.105.4.551,TRUE
10.1037_0021-843X.106.1.145,TRUE
10.1037_0021-843X.106.1.37,TRUE
10.1037_0021-843X.106.1.52,TRUE
10.1037_0021-843X.107.1.27,TRUE
10.1037_0021-843X.107.1.86,TRUE
10.1037_0021-843X.107.2.203,TRUE
10.1037_0021-843X.107.2.238,TRUE
10.1037_0021-843X.107.2.263,TRUE
10.1037_0021-843X.107.2.349,TRUE
10.1037_0021-843X.107.3.412,TRUE
10.1037_0021-843X.107.3.481,TRUE
10.1037_0021-843X.107.4.558,TRUE
10.1037_0021-843X.107.4.576,TRUE
10.1037_0021-843X.107.4.616,TRUE
10.1037_0021-843X.107.4.629,TRUE
10.1037_0021-843X.107.4.681,TRUE
10.1037_0021-843X.108.3.518,TRUE
10.1037_0021-843X.108.4.615,TRUE
10.1037_0021-843X.108.4.655,TRUE
10.1037_0021-843X.108.4.662,TRUE
10.1037_0021-843X.108.4.695,TRUE
10.1037_0021-843X.109.1.156,TRUE
10.1037_0021-843X.109.1.20,TRUE
10.1037_0021-843X.109.1.69,TRUE
10.1037_0021-843X.109.2.222,TRUE
10.1037_0021-843X.109.2.299,TRUE
10.1037_0021-843X.109.2.335,TRUE
10.1037_0021-843X.109.3.386,TRUE
10.1037_0021-843X.109.3.438,TRUE
10.1037_0021-843X.109.3.504,TRUE
10.1037_0021-843X.109.3.512,TRUE
10.1037_0021-843X.109.3.550,TRUE
10.1037_0021-843X.109.4.644,TRUE
10.1037_0021-843X.109.4.651,TRUE
10.1037_0021-843X.109.4.753,TRUE
10.1037_0021-843X.110.1.110,TRUE
10.1037_0021-843X.110.1.124,TRUE
10.1037_0021-843X.110.1.97,TRUE
10.1037_0021-843X.110.2.324,TRUE
10.1037_0021-843X.110.2.341,TRUE
10.1037_0021-843X.110.3.423,TRUE
10.1037_0021-843X.110.4.526,TRUE
10.1037_0021-843X.110.4.573,TRUE
10.1037_0021-843X.110.4.633,TRUE
10.1037_0021-843X.111.1.134,TRUE
10.1037_0021-843X.111.1.156,TRUE
10.1037_0021-843X.111.1.192,TRUE
10.1037_0021-843X.111.1.77,TRUE
10.1037_0021-843X.111.1.88,TRUE
10.1037_0021-843X.111.2.279,TRUE
10.1037_0021-843X.111.4.637,TRUE
10.1037_0021-843X.112.1.100,TRUE
10.1037_0021-843X.112.1.119,TRUE
10.1037_0021-843X.112.1.159,TRUE
10.1037_0021-843X.112.1.81,TRUE
10.1037_0021-843X.112.1.92,TRUE
10.1037_0021-843X.112.3.364,TRUE
10.1037_0021-843X.112.3.415,TRUE
10.1037_0021-843X.113.1.166,TRUE
10.1037_0021-843X.113.4.522,TRUE
10.1037_0021-843X.113.4.636,TRUE
10.1037_0021-843X.114.1.119,TRUE
10.1037_0021-843X.114.3.392,TRUE
10.1037_0021-843X.114.4.661,TRUE
10.1037_0021-843X.114.4.689,TRUE
10.1037_0021-843X.115.3.387,TRUE
10.1037_0021-843X.115.3.397,TRUE
10.1037_0021-843X.115.3.418,TRUE
10.1037_0021-843X.115.4.674,TRUE
10.1037_0021-843X.115.4.687,TRUE
10.1037_0021-843X.115.4.742,TRUE
10.1037_0021-843X.115.4.753,TRUE
10.1037_0021-843X.116.1.105,TRUE
10.1037_0021-843X.116.1.155,TRUE
10.1037_0021-843X.116.1.176,TRUE
10.1037_0021-843X.116.1.213,TRUE
10.1037_0021-843X.116.1.65,TRUE
10.1037_0021-843X.116.1.86,TRUE
10.1037_0021-843X.116.2.236,TRUE
10.1037_0021-843X.116.2.249,TRUE
10.1037_0021-843X.116.3.508,TRUE
10.1037_0021-843X.116.3.554,TRUE
10.1037_0021-843X.116.3.624,TRUE
10.1037_0021-843X.116.4.701,TRUE
10.1037_0021-843X.116.4.741,TRUE
10.1037_0021-843X.116.4.786,TRUE
10.1037_0021-843X.117.1.106,TRUE
10.1037_0021-843X.117.1.143,TRUE
10.1037_0021-843X.117.1.16,TRUE
10.1037_0021-843X.117.1.171,TRUE
10.1037_0021-843X.117.1.193,TRUE
10.1037_0021-843X.117.1.236,TRUE
10.1037_0021-843X.117.1.32,TRUE
10.1037_0021-843X.117.1.79,TRUE
10.1037_0021-843X.117.2.334,TRUE
10.1037_0021-843X.117.2.364,TRUE
10.1037_0021-843X.117.2.377,TRUE
10.1037_0021-843X.117.2.420,TRUE
10.1037_0021-843X.117.2.444,TRUE
10.1037_0021-843X.117.2.454,TRUE
10.1037_0021-843X.117.2.473,TRUE
10.1037_0021-843X.94.1.64,TRUE
10.1037_0021-843X.94.3.329,TRUE
10.1037_0021-843X.94.4.541,TRUE
10.1037_0021-843X.95.3.223,TRUE
10.1037_0021-843X.95.4.373,TRUE
10.1037_0021-843X.96.1.3,TRUE
10.1037_0021-843X.96.1.70,TRUE
10.1037_0021-843X.96.2.117,TRUE
10.1037_0021-843X.96.2.89,TRUE
10.1037_0021-843X.96.3.214,TRUE
10.1037_0021-843X.97.2.206,TRUE
10.1037_0021-843X.97.2.218,TRUE
10.1037_0021-843X.97.2.238,TRUE
10.1037_0021-843X.97.3.302,TRUE
10.1037_0021-843X.97.3.346,TRUE
10.1037_0021-843X.97.4.492,TRUE
10.1037_0021-843X.98.4.504,TRUE
10.1037_0021-843X.99.1.69,TRUE
10.1037_0021-843X.99.2.156,TRUE
10.1037_0021-843X.99.3.237,TRUE
10.1037_0021-843X.99.3.264,TRUE
10.1037_0021-843X.99.3.272,TRUE
10.1037_0021-843X.99.3.313,TRUE
10.1037_0021-843X.99.4.349,TRUE
10.1037_0021-843X.99.4.361,TRUE
10.1037_0021-843X.99.4.385,TRUE
10.1037_0021-843X.99.4.393,TRUE
10.1037_0021-843X.99.4.412,TRUE
10.1037_0021-843X.99.4.422,TRUE
10.1037_0021-9010.70.1.22,TRUE
10.1037_0021-9010.70.1.228,TRUE
10.1037_0021-9010.70.1.85,TRUE
10.1037_0021-9010.70.2.306,TRUE
10.1037_0021-9010.70.2.337,TRUE
10.1037_0021-9010.70.2.379,TRUE
10.1037_0021-9010.70.3.481,TRUE
10.1037_0021-9010.70.3.492,TRUE
10.1037_0021-9010.70.4.729,TRUE
10.1037_0021-9010.70.4.754,TRUE
10.1037_0021-9010.70.4.777,TRUE
10.1037_0021-9010.71.1.111,TRUE
10.1037_0021-9010.71.1.118,TRUE
10.1037_0021-9010.71.1.56,TRUE
10.1037_0021-9010.71.1.77,TRUE
10.1037_0021-9010.71.2.196,TRUE
10.1037_0021-9010.71.2.203,TRUE
10.1037_0021-9010.71.3.411,TRUE
10.1037_0021-9010.71.3.492,TRUE
10.1037_0021-9010.71.3.500,TRUE
10.1037_0021-9010.71.3.508,TRUE
10.1037_0021-9010.71.4.571,TRUE
10.1037_0021-9010.71.4.579,TRUE
10.1037_0021-9010.71.4.591,TRUE
10.1037_0021-9010.72.1.107,TRUE
10.1037_0021-9010.72.3.387,TRUE
10.1037_0021-9010.72.4.522,TRUE
10.1037_0021-9010.72.4.552,TRUE
10.1037_0021-9010.72.4.558,TRUE
10.1037_0021-9010.72.4.638,TRUE
10.1037_0021-9010.72.4.642,TRUE
10.1037_0021-9010.72.4.658,TRUE
10.1037_0021-9010.72.4.666,TRUE
10.1037_0021-9010.73.1.107,TRUE
10.1037_0021-9010.73.1.20,TRUE
10.1037_0021-9010.73.2.208,TRUE
10.1037_0021-9010.73.2.217,TRUE
10.1037_0021-9010.73.2.245,TRUE
10.1037_0021-9010.73.2.323,TRUE
10.1037_0021-9010.73.3.393,TRUE
10.1037_0021-9010.73.3.436,TRUE
10.1037_0021-9010.73.3.551,TRUE
10.1037_0021-9010.73.4.606,TRUE
